#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
96,BWA,Actions,0.15736299272115087,0.009195633747005466,649769.0,-27.93827992955403,20.41722180594614,Allégé,35256466.0,0.15736299272115087,0.1481673589741454,0.15074916467013783,0.08465830339368664,0.09522972754544552,0.08703186428128824
97,HPE,Actions,0.1569464076453059,-0.1215422672861943,1476822.0,-53.54840779537196,-0.8742703878678704,Allégé,35163132.0,0.1569464076453059,0.2784886749315002,0.164561490739144,0.10132196404048122,0.0014721884705057246,0.0011265706562632977
98,CMCSA,Actions,0.15282665467183615,-0.22977029841201518,1192620.0,-66.02233838516791,-3.947809485669651,Allégé,34240120.0,0.15282665467183615,0.38259695308385133,0.8442970235331606,1.253610334210404,0.8710211218744266,0.5161333874442176
99,GE,Actions,0.152757597261959,-0.03874782734783683,120607.0,-29.255702914660116,-7.875856437951856,Allégé,34224648.0,0.152757597261959,0.19150542460979583,0.15499355006962431,0.14950324855648323,0.2032109182600394,0.17040888553443087
100,TEVA,Actions,0.15169951294654624,0.06587216833471382,1128406.0,49.637511553614736,-3.4924714942656143,Renforcé,33987589.0,0.15169951294654624,0.08582734461183242,0.0684300256779948,,,0.0009491606620662814
101,TFC,Actions,0.15012211440936474,-0.00958418979103981,731655.0,-17.78621528144531,-6.584028992706825,Allégé,33634180.0,0.15012211440936474,0.15970630420040455,0.1311941304267926,0.03755668608342047,,
102,ASX,Actions,0.14978023291864864,,1547859.0,,,Nouveau,33557583.0,0.14978023291864864,,,,,
103,VLO,Actions,0.14777458203122848,0.09651477986516466,133998.0,55.187269821416166,51.77836916920133,Renforcé,33108226.0,0.14777458203122848,0.05125980216606383,0.030903035033797717,,,
104,HALO,Actions,0.1475310154039666,0.009704947856285728,511429.0,-8.92985289639711,-3.9673110801294764,Allégé,33053656.0,0.1475310154039666,0.13782606754768087,0.13993643389043448,,,
105,VOD,Actions,0.14010266175692518,0.04184478690302931,2089838.0,2.460166135613845,13.701743620353968,Renforcé,31389367.0,0.14010266175692518,0.09825787485389587,0.09304037300188496,0.031026455720697923,0.02826931915519914,0.026587708447038245
106,WMT,Actions,0.139680675991709,0.030547959786435236,251809.0,-6.255142194474537,11.551925205347136,Allégé,31294823.0,0.139680675991709,0.10913271620527376,0.11141666701466803,0.09702268879437638,0.13239388716147515,0.3228942128909501
